Name,Owner,Category,District,Province,Location
1. Chegutu ,Govt. ,District Hospital ,Chegutu District ,MASHONALAND WEST PROVINCE ,Africa
2.Mhondoro  ,Govt. ,Rural hospital ,Chegutu District ,MASHONALAND WEST PROVINCE ,Africas
3. Gora ,Govt. ,RHC ,Chegutu District ,MASHONALAND WEST PROVINCE ,Afri
4. Mbuyanehanda ,Govt. ,RHC ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
5.Monera RHC ,Govt ,,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
6. Msengezi ,Govt. ,RHC ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
7. Musinami ,Govt. ,RHC ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
8. Chegutu  ,Municipality ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
9. Chinengundu ,Municipality ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
10. Norton Selous ,RDC ,Rural Hospital ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
11. Chegutu ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
12. Chikara  ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
13. Chivero ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
14. Dombwe  ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
15. Katanga Utano ,RDC ,RHC ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
16. Mhondoro North ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
17. Mupawose  ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
18. Rwizi ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
19. Sandringham ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
20. Selous  ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
21. Watyoka  ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
22. Cargill ,Industry ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
23. David Whitehead ,Industry ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
24. Hunyani Pulp & Paper ,Industry ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
25. Monedale ,Pvt. ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
26. ZMDC ,Mine ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
27. Lismore ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
28. Mafuti ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
29. Brunswick ,RDC ,Clinic ,Chegutu District ,MASHONALAND WEST PROVINCE ,AFRICA
1. Karoi ,Govt. ,District Hospital ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
2. Hurungwe ,Govt. ,Rural Hospital ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
3. Mwami ,Govt. ,Rural Hospital ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
4. Chirundu ,Govt. ,RHC ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
5. Chivende ,Govt. ,RHC ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
6. Kasimure ,Govt. ,RHC ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
7. Marongora ,Govt. ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
8. Masanga  ,Govt. ,RHC ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
9. Zvipani ,Govt. ,RHC ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
